"id_item","id_venda","id_produto","quantidade","preco_unitario","desconto","valor_total"
1,1,1,1,3499.00,0.00,3499.00
2,1,4,1,199.90,0.00,199.90
3,2,6,2,24.90,2.49,47.31
4,2,8,3,8.90,0.89,24.87
5,2,13,1,399.90,39.99,359.91
6,3,3,1,2199.00,0.00,2199.00
7,4,16,1,299.90,29.99,269.91
8,4,21,1,18.90,1.89,17.01
9,5,11,1,189.90,0.00,189.90
10,5,12,1,259.90,0.00,259.90
11,5,26,1,49.90,0.00,49.90
12,6,35,1,89.90,0.00,89.90
13,7,19,1,1499.00,149.90,1349.10
14,8,22,2,24.90,0.00,49.80
15,8,17,1,189.90,0.00,189.90
16,8,33,1,59.90,0.00,59.90
17,9,9,2,4.50,0.45,8.55
18,9,37,1,149.90,14.99,134.91
19,10,2,1,2899.00,0.00,2899.00
20,10,5,1,199.90,0.00,199.90
21,11,1,1,3499.00,349.90,3149.10
22,11,25,1,89.90,8.99,80.91
23,12,34,1,199.90,0.00,199.90
24,13,13,1,399.90,39.99,359.91
25,13,14,1,119.90,11.99,107.91
26,13,15,1,149.90,14.99,134.91
27,14,38,1,89.90,0.00,89.90
28,15,18,2,39.90,3.99,71.82
29,15,23,1,249.90,24.99,224.91
